				If you know of any rental assistance programs not documented here, please tell us by emailing us at research@nlihc.org or by filling out this form https://forms.gle/M2V4AcB42MJcyT8X7																																			
Last Added Program: August 16, 2021																																							
GEOGRAPHY				DESCRIPTION				ELIGIBILITY & APPLICATION INFO				ADMINISTRATION INFO				IMPLEMENTATION													OTHER HOUSING SERVICES					SOURCES			DATE	LOCATION POINTS	
Geographic Level	State	City/County/ Locality	Tribal Government/ Territory	Program Name	Description	Program Page Link  (Phone # if Link is Unavailable)	Communities Served for Combined Programs	Tenant Eligibility	Acceptable Proof of Housing Instability	Federally Assisted Housing Eligibility	Landlord Requirements	Allows Direct to Tenant Payment?	Landlord Days to Respond Before Tenant Can Receive Funding Directly	Administering Agency	Administering Agency Type	Funding Amount	Funding Source	Program Applicant	Arrears, Future/Current Payments, Both	Duration of Assistance Limit	# Months Arrears Covered	Funding Limit Per Household (TOTAL)	Tenant Contribution Requirements	Self- Certification Permitted?	Allowable Areas of Self-Certification	Applications Prioritized?	Application Prioritization Specification  (Beyond Treasury Prioritization Requirements) 	Application Selection Method	Program Covers Utilities?	# Months Utilities Covered	Types of Utilities Covered	Other Housing Expenses Covered?	Types of Other Housing Expenses Covered	Source1	Source2	Source3	Date Added	Location	Latitude/Longitude
State	Alabama			Alabama Emergency Rental Assistance Program	On February 12, 2021, Governor Kay Ivey authorized AHFA to implement the State’s new COVID-19 emergency rental assistance program. Emergency Rental Assistance (ERA) Alabama is funded entirely by a $263 million congressional grant under the Consolidated Appropriations Act of 2021 (the “Act”). Issuing a declaration of public emergency, AHFA is presently developing a program for processing online applications statewide, by landlords and renters. The online and phone system opens for applications from landlords and tenants on March 1, 2021 at 8 a.m. Central Time.	https://eraalabama.com/		80% AMI or less, COVID Hardship, Housing Instability, Proof of Residency (General), Current Lease, ID	Eviction Notice, Past Due Rent, Live in unsafe or unhealthy housing conditions; increasing debt or other sacrifrices to pay rent	Yes	W-9/Payee Information, Eviction Restrictions During Covered Period, Rental Ledger, Landlord application if applying directly	Yes	10 days / 3 attempts to email or contact	Alabama Housing Finance Authority	Housing/Development/Finance Authority/Corporation	$263,236,065.50	ERA Program - Treasury	Both	Both	15 months	12 months			Self-Attestation Permitted	Income Non-Traditional	Yes	Eviction notice	First-come first-served	Yes		Power, Water, Sewer, Trash, Natural Gas, Waste Services, Internet	Yes	Internet	https://eraalabama.com/	https://www.ahfa.com/renters/emergency-rental-assistance-alabama		2/19/2021	Alabama	32.3182314, -86.902298
County	Alabama	Baldwin County		Baldwin County Emergency Rental Assistance Program	Baldwin County is launching the U.S. Treasury Emergency Rental Assistance Program to provide emergency rental assistance to residents who are at risk of experiencing homelessness or housing instability due to the COVID-19 pandemic. The program is funded through the federal Coronavirus Response and Relief Supplemental Appropriations Act, 2020 (H.R. 133). This relief package includes $25 billion for emergency rental assistance, of which $6.6 million has been allocated to the county of Baldwin to provide assistance within the 14 municipalities. Both landlords and renters may apply. The program can provide assistance for past-due rent and forward rent payments for applicants.	https://www.baldwinaltogether.org/		80% AMI or less, COVID Hardship, Housing Instability, Proof of Residency (General), Current Lease, Unspecified	Eviction Notice, Past Due Rent, Past Due Utility Notice; Rent Cost is 50% or more of monthly take home pay/income AND Less than 3 months of rent in liquid savings	No	W-9/Payee Information, Waive Late Fees, Eviction Restrictions During Covered Period AND Future Months, Rental Ledger, Photo ID	No		Baldwin County	City/County Department - Unspecified	$6,686,362.30	ERA Program - Treasury	Both	Both	15 months	12 months			Self-Attestation Permitted	Income Non-Traditional	Yes		First-come first-served	No			Yes	Late fees	https://www.fox10tv.com/news/baldwin_county/baldwin-county-is-launching-emergency-rental-assistance-program-due-to-covid-19/article_37e3e206-8c28-11eb-bd50-977b47a18c30.html	https://www.baldwinaltogether.org/faq	https://www.baldwinaltogether.org/resources	4/5/2021	Baldwin County, Alabama	30.6010744, -87.77633329999999
City	Alabama	Birmingham		Birmingham Emergency Rental Assistance Program	The Birmingham Emergency Rental Assistance Program is here to help Birmingham residents who’ve fallen behind in paying rent or utilities because of the pandemic. The program is also prepared to help landlords with tenants unable to make rent because of COVID-19. This program is ONLY for renters who live within the city limits of Birmingham.	https://www.birminghamal.gov/renthelp		80% AMI or less, COVID Hardship, Housing Instability, Proof of Residency (General), Current Lease, Unspecified	Eviction Notice, Past Due Rent, Unsafe or unhealthy housing conditions; utilities turned off	No	W-9/Payee Information, Rental Ledger, ID or Corporate Resolution (if incorporated entity)	Yes		City of Birmingham	City/County Department - Unspecified	$6,272,092.60	ERA Program - Treasury	Both	Both	15 months				Self-Attestation Permitted	Income Non-Traditional	Yes			Yes		electricity, water, gas, home energy	Unknown		https://patch.com/alabama/birmingham-al/birmingham-newsletter-4-23			4/26/2021	Birmingham, Alabama	33.5185892, -86.8103567
City	Alabama	Huntsville		City of Huntsville COVID-19 Emergency Rental Assistance Program	Huntsville received more than $6 million to distribute to those who qualify. Funds will be used to offer direct financial assistance on behalf of the tenant to landlords and utility companies to cover past-due payments of rent and utility/home energy costs. The goal is to prevent housing instability, potential eviction, and offer financial relief to qualifying tenants and landlords.	https://www.huntsvilleal.gov/covid-19-emergency-rental-assistance/		80% AMI or less, COVID Hardship, Housing Instability, Proof of Residency (General), Current Lease, Unspecified, ID for one household member on the lease	Eviction Notice, Past Due Rent, Past due utilities	Unknown	W-9/Payee Information	No		Office of Community Development	Department of Housing/Community/Economic Development	$6,007,644.10	ERA Program - Treasury	Both	Arrears only					Self-Attestation Permitted	Income Non-Traditional	Yes	Active/ at risk of eviction	Unknown	Yes		electricty, home energy	Unknown		https://whnt.com/news/huntsvilles-emergency-rental-assistance-program-now-open/	https://3jzi0q2zthm01oqpx2h96lz1-wpengine.netdna-ssl.com/wp-content/uploads/2021/03/COH_Covid19ERA_English-_flyer.pdf		4/14/2021	Huntsville, Alabama	34.7303688, -86.5861037
County	Alabama	Jefferson County		Jefferson County Alabama Emergency Rental Assistance Program	The Jefferson County Commission has approved a federally funded Emergency Rental Assistance Program for those Jefferson County renters that have been negatively impacted by COVID-19 and need help with rent and utility bills. Once again, the County has partnered with three organizations that will manage the program, Birmingham Urban League, Neighborhood Housing Services and Bridge Ministries. These organizations will be open for applications starting May 24th, 2021 at 8:00 am. Note, for residents who live in the City of Birmingham, they should apply through the City’s program link, but all other residents in Jefferson County should apply through this program.	https://erap.jccal.org/		80% AMI or less, COVID Hardship, Housing Instability, Proof of Residency (General), Current Lease, Unspecified, Photo ID	Eviction Notice, Past Due Rent, Past due utilities; AMI below 30%; currently living in hotel/motel; documentation that household is exiting a publicly funded institution	Yes	W-9/Payee Information	Yes	10 days (email/phone); 14 days by US mail	Jefferson County Commission	City/County Department - Unspecified	$13,502,417.90	ERA Program - Treasury	Both	Both	15 months	12 months			Self-Attestation Permitted	Income Non-Traditional	Yes		First-come first-served	Yes	15 months	internet, water, sewer, trash, power, and home energy costs	Yes	Relocation Expenses, Late Fees, Internet	https://erap.jccal.org/			6/7/2021	Jefferson County, Alabama	33.4914122, -86.9824288
County	Alabama	Madison County		Madison County Emergency Rental Assistance Program	The Madison County Emergency Rental Assistance Program (MCERAP) was created to help renters dealing with financial challenges related to the COVID-19 pandemic. For eligible households, the program offers rental and utility assistance to help Madison County renters avoid evictions and loss of utility services. Utilities include electric, water, gas, and sewer. Emergency Rental Assistance Programs were established by the Consolidated Appropriations Act of 2021.   	https://mcerap.com/		80% AMI or less, COVID Hardship, Housing Instability, Proof of Residency (General), Current Lease, Unspecified, SSN	Eviction Notice, Past Due Rent, Past due utility, unsafe or unhealthy living conditions, rent to income ratio of more than 30% of adjusted income	Yes	W-9/Payee Information, Rent increase restriction during covered period	Yes	10 days	Madison County	City/County Department - Unspecified	$5,223,224.50	ERA Program - Treasury	Both	Both					Self-Attestation Permitted	COVID Hardship	Unknown		Unknown	Yes		electric, water, gas, sewer	Yes	Uncategorized Housing Expenses	https://www.madisoncountyal.gov/services/emergency-rental-assistance	https://mcerap.com/		6/10/2021	Madison County, Alabama	34.72397309999999, -86.49965460000001
